sample_id,video_id,person_id,food_type,chew_side_label,label_quality,notes,chew_rate_hz,asymmetry_ratio,pause_ratio,rhythm_variance,jaw_opening_mean,dominant_frequency,chew_side_candidate,chew_side_candidate_confidence
1,1,1,,,,,6.116876363056455,1.035074243065281,0.3621014670928612,280.4041807931407,10.830082366551268,0.0037097950956509,left,0.6375266524520256
10,10,10,,,,,5.410728388537838,1.0774621274012222,0.6199512062889672,310.49637514371676,8.275755970261725,0.008130411805358,left,0.8847736625514404
11,11,11,,,,,9.320160087821044,1.0055677938279644,0.491405600221791,1038.9822637388402,21.721163104015808,0.0083140493577402,left,0.1964809384164224
12,12,12,,,,,5.705784544743284,1.0849682162896177,0.536783904162187,2311.7443929564993,26.68961733092347,0.0092129103583829,left,0.16161616161616166
13,13,13,,,,,8.782824885977398,0.9809951321900942,0.3007380073800738,231.76607278592743,15.414126909404498,0.0110487063806278,right,0.2758620689655173
14,14,14,,,,,5.424351918254686,1.0463573559740416,0.4364936276033572,75.18237285103513,5.728280018928066,0.0037296037296025,left,0.8383838383838385
15,15,15,,,,,11.37902486475591,1.0589349534801342,0.5480472764645427,148.38058061061008,6.00680838414028,0.0038532180792995,left,0.551061678463094
16,16,16,,,,,3.883721439765172,0.9698306776891512,0.2242073918374496,113.05739795139468,10.110450446318456,0.0039607097591888,right,0.30624999999999997
17,17,17,,,,,5.7804474718203664,1.1577990197675547,0.3159611481588866,137.16127557035225,5.1646660679354195,0.0043370463268836,left,0.8025974025974024
18,18,18,,,,,10.328194143927105,1.0126163349375683,0.4613456960280666,691.8029332684946,19.11155947204991,0.0075171955849004,left,0.21621621621621623
19,19,19,,,,,3.448473934588297,0.9809077033139298,0.3679594620931592,649.2312824800151,19.515741452287592,0.0116902094495841,right,0.27619047619047615
2,2,2,,,,,2.9260039946040037,0.6986659939873306,0.4940819720238677,2010.7773013708645,26.889436434403123,0.0036229302484275,right,0.913793103448276
20,20,20,,,,,2.4592300326295455,1.0161336206034013,0.2514012405649802,72.15731015380673,3.899095615238091,0.0022418676251898,left,0.4006309148264984
3,3,3,,,,,2.8137731200476868,1.033684845564084,0.1780483254034891,97.62889991037216,5.840732473786454,0.0419161043985263,left,0.5639810426540285
4,4,4,,,,,2.977471772045702,0.9573982358297456,0.2743303571428571,415.151961101727,15.029311139397976,0.0035205284810041,right,0.1964285714285714
5,5,5,,,,,2.6478977424808208,0.9585752707430926,0.3700247357769283,69.56584808827,3.522316467422419,0.0562176748369699,right,0.7610062893081762
6,6,6,,,,,3.163096308449226,1.001467640510185,0.2458551483420593,556.0065999071293,6.721342191398971,0.0850738943120523,left,0.360655737704918
7,7,7,,,,,3.9288207670299498,0.8367230940157759,0.2366849178695868,1429.3131962355938,25.662095203305544,0.0027808934083561,right,0.9811320754716982
8,8,8,,,,,5.31828030660846,0.9923585140014284,0.5288289751502355,1518.216346101702,22.377004103009288,0.0048720676242977,right,0.03703703703703709
9,9,9,,,,,11.820988747271468,0.9849390696809182,0.6561721107175653,303.6767124608175,6.323004892162508,0.0078701942626293,right,0.2925170068027212
